id1,id2,length
675,3428,10.984618904830846
675,3745,9.265058095328918
675,2960,10.98459924767624
675,4856,9.265054384940042
4856,6618,24.091359095791027
4856,3377,29.16686104394592
3428,1106,191.91896712418432
3428,0,202.40706769514713
1106,3377,44.87101862637386
1106,1686,162.93768218641566
3377,455,18.162686821170016
1668,1971,849.1091482000422
1668,5094,798.4446046622487
1668,3745,57.78766120409376
3745,2676,50.0347920107605
1971,0,900.7166348824892
1971,6166,51.84145532134298
2960,2140,37.11264993186369
2960,6618,27.98903792960023
6618,455,7.948587441509616
275,6477,37.808270090860894
275,4226,11.821240497853855
275,5264,15.319619233548622
275,1551,19.20773762491786
275,3088,34.06915598526303
275,0,18.95782510296433
1686,4226,144.1512621864522
1686,6477,34.26868394138322
455,1373,18.164387452998856
455,1245,7.937607128416282
1245,1421,104.8000813522956
1245,2864,106.46010233728087
2864,2327,73.07649326261081
2864,4226,140.26010901881418
2140,2676,48.19195143590874
2140,5402,61.42027989130495
2676,322,5.450616603655497
80,5526,12.449666981931472
80,1679,12.561694858606183
80,5202,12.449668053955783
80,3612,12.561714829939122
3612,5634,294.28739722473745
3612,1982,306.06893824404983
6166,725,10.50003929714923
6166,5526,44.804674506211136
1982,946,182.50228680380954
1982,5094,477.2869568914085
5094,842,354.9480677282662
5526,3464,36.33123645534133
322,1601,14.559918153485636
322,4032,2.711528466893892
322,2882,2.746244534115163
322,3735,14.559816074746058
842,315,15.038392917877077
842,1601,340.3424792057748
1601,6235,327.4882160112555
725,2890,15.237943117341636
725,6794,10.50000832878799
725,5600,15.237936726097013
2890,0,569.3463376292782
2890,2292,554.2909583591914
1373,2771,72.32647064098127
1373,5915,85.54773642095093
5402,2624,18.297634413598185
5402,2771,63.62857251853687
2771,630,10.855423295434486
3088,5461,17.817408741598125
3088,3019,34.07233779057659
1050,3019,68.45296413651747
1050,2120,151.16103574074137
1050,4636,218.49653964017722
4636,6113,20.533784629721495
4636,3555,238.66398359789474
3019,481,44.74816704289884
3555,698,6.1724422983926726
3555,3656,244.8260467998632
3656,4849,109.66225452409019
3656,0,354.2311261323647
5915,5927,47.49649393703444
5915,2774,119.85762001135276
1421,1868,107.93208885858262
1421,229,22.25622662028487
1708,2774,160.7274939311572
1708,3074,72.32965771437688
1708,1868,128.08064113742356
1868,4505,36.41064494626413
2774,1730,144.17793528901694
