id1,id2,length
16,5667,12.732901178564212
16,2532,10.056011349196657
16,1799,14.722131321458317
16,4265,2.9185011949324227
16,3791,25.657871275588196
16,5612,9.636481002200169
16,6147,12.999992773533096
16,4468,12.999992773533096
16,5049,17.71783545852123
16,4156,17.690177836397023
16,0,10.34948920192648
1104,2602,125.779183771921
1104,504,8.571298419159978
1104,2985,117.94051334053107
2985,1083,27.231913585422515
2985,3837,94.2625052583244
2307,2059,169.41146960353586
2307,257,12.827736696495123
2307,2602,157.16432681613261
2059,0,241.31057549218002
2059,5400,73.49076548528984
2602,5044,33.77162469633657
2967,3837,87.75269593665656
2967,3246,9.331641470185593
2967,5667,81.90523279088572
5667,5662,75.08279669465995
3837,146,7.792627589349207
2168,5662,23.85514851325658
2168,166,10.020240473953951
2168,2532,22.719389081475157
2532,4099,24.14454314479295
5662,4029,59.287732970336826
4156,3317,15.9955036169883
3317,621,39.276416618479544
3317,0,55.23388152786238
504,3233,12.455398532909467
504,3216,14.075638547495847
504,5994,11.2149844891813
504,2876,17.705506850487136
504,1083,6.181802868384772
5044,937,23.88410848868174
5044,3233,10.361769444252907
1083,5475,27.78153981899785
257,5114,16.078049320669376
257,826,12.827695751531541
257,937,16.078048646170163
1195,3456,38.95366576621614
1195,348,12.922263893925864
1195,5114,27.393038802633424
5114,4789,24.125477777906607
5400,165,8.502671347305833
5400,3456,65.03174421649952
3456,2789,29.483715454520684
165,4750,11.38928292861482
165,2554,11.389282928595234
165,1298,8.496579587894791
165,5516,5.948850238288777
165,1379,9.517169956252763
165,4011,16.597075598462748
2272,0,289.8977269250666
2272,3359,245.35500163681587
2272,5623,44.546057500269896
5623,92,8.91161544769009
5623,3866,36.06730300906559
3866,92,8.91161544769009
3866,4750,27.860065212651044
4750,2554,23.829269915318964
937,3216,27.002432811655183
3246,146,11.319243509421426
146,5475,10.811922486161812
146,4307,5.892345086524214
146,1734,13.378555389799569
146,2769,10.963340448034067
2769,772,58.60492328891674
2769,4029,57.360256128897234
4029,166,15.714699082339887
5475,5484,27.732140578090107
1799,4265,12.893556221404014
4099,3120,12.702174610425374
4099,4471,28.619210279128428
4471,5814,29.221003420569424
4471,4265,12.769901376200036
166,4133,5.989954038863405
166,1547,18.10639147461892
166,4268,12.855642343067812
166,3120,16.93550566140143
5049,621,15.653949511658489
621,2488,23.78712957700181
277,2488,10.411403435431714
277,2816,10.411403435414535
277,5887,8.60537788228426
277,1303,17.09390214314471
277,6099,8.408961325342208
277,0,13.289783510385
2488,4468,24.831169052176314
3216,4809,23.706673644978103
2876,5484,12.686925330680353
5484,6157,35.018878617030175
826,2924,29.694449684724287
826,1858,27.709269802824522
2924,5077,28.34098912422627
2924,558,10.599741251669872
5077,4789,25.752112934783533
5077,668,32.26912442410154
4789,348,10.591449038804761
348,2906,10.589348334927772
348,1394,12.916183876738542
2906,2789,24.299480966084978
2906,1379,24.65065571481041
2789,4011,12.816915561419114
2554,3452,24.87803261914876
482,4645,9.56215175403558
482,3269,14.703300172607959
482,5176,9.558789281030032
482,4461,14.713913393334522
4461,3156,76.13436714510466
4461,4881,88.50249804124415
3359,4881,110.86813212945884
3359,5462,173.84904425402405
4881,2225,24.268405393931236
4645,0,30.700784643435433
4645,1628,21.156448232435338
92,3601,10.907563596927112
92,1983,7.059619754151195
92,2516,13.10741538644413
92,3452,8.563724294647644
5462,575,26.81549976935126
5462,3601,154.97761816895422
3601,5038,147.36787543750225
3452,1403,22.71275996893206
1858,1567,25.99740262134087
1858,4809,36.12762380088745
4809,5393,25.860420319155686
1734,5345,29.806011250628465
1734,903,29.382802745977987
772,903,60.02558652012666
772,6069,57.809740465801326
903,6141,49.29218006615665
6069,3582,56.505063253272915
6069,4133,4.272927366006693
3561,6157,32.4193206507807
3561,5345,30.630923942112172
3561,4307,4.228039262669655
6157,3704,41.2468625908955
4268,4260,30.94616838487649
4268,5814,22.133798154734496
5814,3791,18.801478997144702
4468,2816,23.30818091104263
2816,6147,23.255699511756386
6099,2431,34.44438007223411
6099,3119,42.83633000523126
3119,4661,885.5112174015146
3119,0,918.6644410523373
5393,534,10.92059418904654
5393,5994,27.532155656597038
5994,3704,25.138948296652767
3704,5922,31.01250022119577
2292,558,12.479145094277994
2292,1567,9.00973499161422
558,4800,18.011002932835197
558,788,15.553630730565322
558,4181,10.485800419333707
1567,5353,22.00066282447869
3656,668,34.03146733997177
3656,597,13.51436776784622
3656,4800,37.1581371739674
668,1394,25.883644595698467
4800,2736,34.13556930352927
1394,5757,25.28373348828904
1929,1379,24.123833426061996
1929,4126,26.812099255588645
1929,5757,28.65190046739597
5757,597,15.935631862319983
1298,1368,35.43089694188546
1298,4354,37.72873415307371
1368,1403,35.202384519732384
1368,6075,10.48971134663237
1403,6177,31.838059016753203
3269,1628,12.526360532922086
3269,4887,17.929031820518
1628,308,9.310525469982473
5176,5980,17.503519945940997
5176,2187,20.36860829731568
2187,2157,42.75736746250025
2187,3156,50.85548273068521
3156,28,28.02200304024809
575,6056,8.87008194526466
575,5550,26.812337814527282
575,1810,8.859401638204712
6056,2225,25.765964331760788
6056,2910,24.269188470660936
2225,28,8.800605190470682
28,4771,8.811286519630384
28,6110,28.018840834360244
308,3412,14.937755004969999
308,3721,9.31049460182266
308,4887,14.937755153594498
3412,1888,128.73188368235662
3412,4127,117.23264286063343
1888,0,830.3056965507787
1888,2826,705.3503717946815
1506,5910,96.141786810857
1506,1509,68.70453608113407
1506,5725,40.12625030624465
5725,259,7.827648181269865
5725,1983,32.938370974782075
1983,5083,30.404499226371133
2524,5038,132.57794941515274
2524,4584,48.59071496296967
2524,5910,103.03995146092154
5910,161,11.698246655251175
5038,1810,23.572894520151653
1810,1138,24.938769438084744
2516,5083,11.018326147121577
5083,6177,31.856439909811616
6177,259,6.885470371395375
534,5353,16.303693385892487
534,3546,16.661001375785897
534,3869,9.927123338477905
534,3858,12.117951369470678
5353,4181,23.197716816021504
5345,536,14.840657679247963
374,3080,24.51663986107977
374,3139,8.638773434400687
374,5379,24.506344012996404
374,3582,8.643017117915763
3582,4712,55.072986832349265
6141,536,13.639424225363252
6141,2802,46.166113738304674
2802,4048,28.212456513762007
2802,3080,49.37525560227032
3080,3409,38.86613956753407
536,4225,13.650301329835376
536,2236,14.838274712494847
1547,4712,51.87996285660077
1547,5370,44.45695796649565
4712,5143,42.68949930202657
5922,3858,8.577025415947467
5922,4225,25.10432749767826
4225,3869,27.475208330481685
1351,5370,32.970222104206876
1351,701,36.23989429066834
1351,4260,40.144644589187
4260,3519,30.430159154022956
5370,490,18.441303384607618
3519,342,8.356693094527955
3519,5612,25.792534900683265
5612,5981,18.479480388574302
6147,5981,23.141169402408092
3699,5981,22.805818103836945
3699,342,12.159335879337899
3699,4432,21.845412507720866
4432,2141,1.0625064436374476
4432,5887,21.474834007086972
5887,1981,21.50132937834758
1303,2431,13.271808787360078
2431,1981,23.063601954553754
2737,202,8.077729228281955
2737,1816,67.50449467249291
2737,1640,75.4722027987022
202,1981,11.47950781108488
202,2141,1.3910800670054162
202,2766,1.3202523764447749
202,1167,1.2530621548694185
202,3924,1.189324286012538
202,3061,1.1288631626162056
202,2526,0.8975740072172935
202,4882,0.897574006351919
202,5704,11.47949098178396
1640,688,45.30061974928227
1640,4661,120.49591495545013
4661,2939,791.1756178215855
4824,14,40.47396377574825
4824,2614,31.065348268760392
4824,0,70.45816037714089
14,5070,35.734314498065295
14,2226,41.163509984902085
14,5846,35.72732817986164
783,2939,784.5422474885389
783,786,128.15989216884267
783,5070,702.714685995694
5070,2747,679.7440268193197
2939,337,9.367432540614832
4181,735,21.03150288391085
788,5418,28.36213937574199
788,735,23.490900320654106
1000,2736,36.48789571516968
1000,753,23.55454040690966
1000,5418,23.5016544190478
5418,152,16.57486090675884
2736,5823,32.27844851538463
597,2253,6.8774461539455345
597,5186,10.428710495135382
597,1258,19.727356933181326
1258,5018,31.32821616513229
1258,4535,28.393312855308242
4535,522,8.557049934595723
4535,5823,28.049154861057506
5823,2760,7.522378915609205
5516,4126,4.824702726523726
4126,1003,28.373817264633928
2253,1003,4.896872316940717
1003,4354,29.356795040937588
4354,5186,30.24104406520411
5745,259,11.08933890684724
5745,5173,30.38045512603574
5745,5186,29.96605561839585
259,6075,14.015409311123545
259,1509,7.827648181269865
259,3674,16.333952147971054
1246,4887,17.76271659856833
1246,5538,16.398160787299467
1246,5980,17.934219769866882
5980,551,8.887041491413196
2157,551,12.778364267479008
2157,4771,38.54554012330432
551,2928,12.627516954749469
551,4068,9.023926862934456
551,3254,17.749485234744345
4771,973,38.241856318354465
2221,2910,38.81577799597023
2221,1149,31.082521684416392
2221,5550,34.44933365676233
5550,3464,27.80546196660614
2910,5388,41.51804335473045
6110,4073,38.32801537985386
6110,5388,34.11429177809899
5388,5532,25.32093591457679
2715,4127,110.85802317012275
2715,1205,104.63965344247231
2715,4068,28.08726554829678
4068,3721,20.289746924420417
4127,403,9.083299262852504
3721,5538,15.62720061473397
403,4005,21.86914614487778
403,3937,9.083254965851493
403,3209,21.869146345091824
4005,1385,70.1026864173926
4005,5508,48.356177728365395
1385,2826,426.8312776153327
1385,5491,374.76930713464895
2826,6081,305.16591810218745
6081,198,8.761462910323704
6081,5229,298.9456693553793
198,3923,14.840842904437126
198,0,15.138616197255553
198,5580,8.628256558528935
198,2231,15.962948351139051
198,5507,14.149676572477276
3923,0,11.591772653896035
5389,161,26.488600503816823
5389,741,25.391412605120344
5389,3327,31.56475123807895
161,4169,26.488600180689613
161,4522,11.69817828273561
1509,1840,62.64018388291906
1840,3327,59.21748868949009
1840,3674,26.901264376190618
3327,2262,43.27890676088257
86,1138,9.741249545903399
86,4477,28.569607498310862
86,4969,9.739448003238113
86,4584,28.563513762489453
4584,4969,20.97511051337201
1138,3468,23.613262128722297
4169,4969,26.323362785959308
4169,1732,29.682436578946366
3464,422,9.907976393976222
3464,3468,27.884648286474125
3468,1693,32.3749500900519
735,4343,31.786559963881587
4343,3966,22.68426756402818
4343,5546,25.04570176639252
3546,5546,27.42987464786212
3546,3638,25.487603819985864
5546,314,9.422632173974321
3409,170,11.089333877685089
3409,4038,40.36813049212855
3139,4038,44.11615049614048
3139,3619,42.49928492254933
4038,2417,54.778009118532275
5379,4229,40.09200030763134
5379,5143,36.596691910792686
5143,4604,23.29425228109877
2236,4982,26.210645497462885
2236,4048,25.10256725125984
4048,5394,9.014160652016795
170,5394,11.85958731111684
170,4982,9.507087425944176
170,3262,14.675223033745917
170,2650,17.780735221226607
490,4701,8.637697373604464
490,3955,18.44129317537406
490,701,8.6377122684285
4604,541,6.174953688382702
4604,4701,21.93973055744759
4701,2411,19.764042732170793
828,3869,25.043568546190038
828,3638,27.965457459605
828,4904,35.687415681568034
4904,2259,23.865014548542888
4904,4982,24.48570461567029
701,5719,36.11479245065888
342,5719,12.15566517894339
342,5401,0.9983945327934691
342,5554,1.2595510833057553
342,5031,1.0926206947370187
342,4406,1.1518739937168108
342,3049,1.2143008590786182
342,2841,1.2800732841118445
342,1687,1.3493724791948294
5719,2053,41.230670957925405
1687,2766,1.0019344521545193
1687,2141,1.168250485884468
5704,5401,1.0582516575915402
