id1,id2,length
418,4623,14.581237960971338
418,7104,17.043774752714928
418,6331,29.59101052737156
418,1140,13.208315375041412
418,5469,13.561334297122382
418,5133,13.561334296560933
418,5805,23.320052597614563
418,4521,23.966425994537
4521,5805,155.734111941213
4521,1182,134.94618814502186
6872,1182,17.785552814171062
6872,3150,12.941895731115384
6872,4623,16.275467354372104
1182,4611,121.43873423240841
4623,2526,10.662599892120319
7055,2526,14.237734204670149
7055,6545,13.446032693335344
7055,7104,19.518262768397413
2526,185,13.581274505794353
7104,1970,24.41573046868217
5805,6571,176.73569814507584
3150,185,17.313468821643536
185,1224,6.239233215783094
185,5846,11.612684477077064
185,4861,13.561553571555407
185,6784,11.95622993269598
4611,233,9.729317409570431
4611,1478,113.82993212475688
1224,1478,106.56669253416467
1224,1959,101.79244885645241
1478,233,9.729317409913607
233,6183,8.67283852361492
233,3315,8.052560089457597
233,1785,9.404454468372236
233,830,6.464005973595881
233,2125,11.100902536425869
233,4071,4.948731401474858
233,2541,6.974377729554422
4099,2257,67.86251099876628
4099,2698,58.642425687596905
4099,6183,12.043202618505486
2257,6571,84.75623721048562
2257,123,19.863157561928254
6183,2985,6.784188940406959
6571,0,248.6285390375626
6331,1970,21.18400947948945
1970,3436,32.62859815286948
6784,4106,13.830729991556677
6784,6545,9.012132101824015
6545,480,10.984061777549625
2638,480,17.880839773393436
2638,4654,29.636420597726808
2638,3436,35.26586003786023
480,4106,10.984061777501138
480,2373,17.996763557510846
480,1894,17.90698921429446
480,3583,59.91264998664353
480,5619,10.764350603077075
480,6402,3.891492766585122
480,4350,26.83198293379279
3436,1140,23.21809786199163
5133,5469,46.14205623729878
5133,0,56.387811217835925
1959,6524,9.823735424459686
1959,5875,94.75777235310154
1258,6723,78.56950059296648
1258,362,15.266016236113922
1258,5552,71.3368444694713
5552,4197,27.460971326901667
5552,6059,68.66974289703481
5875,346,9.560908505692579
5875,6480,88.00986662664833
6059,1350,32.49654547784061
6059,5762,56.644666569825034
5762,3542,27.356401898940792
5762,5846,37.50152555818273
5846,4861,27.96647310509966
6480,346,9.560908505806394
6480,6723,81.82456702514538
6723,5141,5.837905760757288
2541,6236,4.728142884271147
2541,6524,9.534902815247579
6524,4237,9.79822438779869
3315,2985,1.499227393119784
3315,1728,8.192829606839132
2985,308,6.64695186853173
3574,123,11.097491225229692
3574,7021,10.941931447632838
3574,4731,5.495243877806648
123,3519,11.587235341612386
123,6536,15.063206567913575
123,3430,6.019727041066537
123,6828,12.549196734925498
2698,4731,26.659626775568306
2698,6548,36.33478710450614
4731,6992,21.57156579364602
3519,6988,268.9356235456685
3519,6724,257.639152960693
6988,0,301.53209857487013
6988,1681,32.9839361603397
308,6055,11.91187571437854
308,7025,8.845709196774129
308,1956,5.8057921588339285
308,2596,9.745705557198704
6548,168,4.894750923144871
6548,5134,32.97247562010325
5134,1526,4.2580713750494175
5134,6055,31.21896207542338
6055,5574,24.29698516234855
1140,1207,27.035425450194897
4861,2373,19.862602485764917
4106,2373,8.404729559332806
4350,6402,2.444827266717421
4350,6956,27.18931228653819
6956,190,17.35357370408893
6956,6266,33.39861605663828
4654,6266,33.574879890859286
4654,617,13.075979831650235
6266,5199,16.434253999460186
1207,617,23.72797584389015
1207,3446,22.926988283226333
